event_cause,corridor_grouped,priority,requires_road_closure,veh_type,time_of_day,day_of_week,is_weekend,severity
vehicle_breakdown,ORR East 1,High,False,lcv,night,Wednesday,False,routine
vehicle_breakdown,Non-corridor,Low,False,truck,late_night,Thursday,False,routine
vehicle_breakdown,Magadi Road,High,False,auto,late_night,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,late_night,Thursday,False,routine
tree_fall,Non-corridor,Low,False,unknown,early_morning,Thursday,False,high
vehicle_breakdown,ORR East 1,High,False,lcv,night,Wednesday,False,routine
vehicle_breakdown,Tumkur Road,High,False,lcv,late_night,Thursday,False,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,late_night,Friday,False,routine
vehicle_breakdown,Hosur Road,High,False,heavy_vehicle,late_night,Thursday,False,routine
vehicle_breakdown,Hosur Road,High,False,heavy_vehicle,late_night,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,auto,late_night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Friday,False,routine
vehicle_breakdown,Hosur Road,High,False,heavy_vehicle,late_night,Thursday,False,routine
vehicle_breakdown,ORR North 1,High,False,bmtc_bus,late_night,Thursday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,late_night,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,lcv,early_morning,Friday,False,routine
vehicle_breakdown,Mysore Road,High,True,ksrtc_bus,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,others,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,private_bus,late_night,Thursday,False,routine
vehicle_breakdown,other_corridor,High,False,private_car,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,late_night,Thursday,False,routine
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,early_morning,Thursday,False,routine
construction,Non-corridor,Low,False,unknown,early_morning,Friday,False,routine
vehicle_breakdown,West of Chord Road,High,False,bmtc_bus,late_night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,early_morning,Friday,False,routine
vehicle_breakdown,Magadi Road,High,False,heavy_vehicle,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Thursday,False,routine
construction,Bellary Road 2,High,False,unknown,early_morning,Thursday,False,routine
vehicle_breakdown,West of Chord Road,High,False,heavy_vehicle,late_night,Thursday,False,routine
road_conditions,other_corridor,High,False,unknown,early_morning,Friday,False,high
others,Bannerghata Road,High,False,unknown,early_morning,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,lcv,late_night,Thursday,False,routine
vehicle_breakdown,ORR North 2,High,False,truck,early_morning,Friday,False,routine
vehicle_breakdown,other_corridor,High,False,lcv,early_morning,Thursday,False,routine
congestion,ORR North 2,High,False,unknown,early_morning,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Friday,False,routine
others,Magadi Road,High,False,unknown,night,Saturday,True,high
vehicle_breakdown,Magadi Road,High,False,heavy_vehicle,early_morning,Thursday,False,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,late_night,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,others,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,late_night,Thursday,False,routine
vehicle_breakdown,Hosur Road,High,False,others,early_morning,Thursday,False,routine
pot_holes,Non-corridor,Low,False,unknown,late_night,Sunday,True,high
construction,Non-corridor,Low,False,unknown,early_morning,Friday,False,high
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,early_morning,Thursday,False,routine
others,Non-corridor,Low,False,unknown,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Thursday,False,routine
congestion,ORR North 2,High,False,unknown,early_morning,Thursday,False,routine
vehicle_breakdown,Hosur Road,High,False,private_bus,daytime,Thursday,False,routine
vehicle_breakdown,Old Madras Road,High,False,heavy_vehicle,daytime,Thursday,False,routine
others,other_corridor,High,False,unknown,early_morning,Friday,False,routine
pot_holes,Non-corridor,Low,False,unknown,night,Friday,False,high
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Friday,False,routine
construction,Mysore Road,High,True,unknown,daytime,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,private_car,late_night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,daytime,Thursday,False,high
vehicle_breakdown,ORR West 1,High,False,heavy_vehicle,daytime,Thursday,False,routine
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,evening,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,others,night,Thursday,False,routine
construction,ORR East 2,High,False,unknown,night,Thursday,False,high
pot_holes,Non-corridor,Low,False,unknown,night,Friday,False,high
vip_movement,Mysore Road,High,False,unknown,night,Thursday,False,routine
tree_fall,Non-corridor,Low,True,unknown,early_morning,Friday,False,routine
tree_fall,Non-corridor,Low,False,unknown,early_morning,Friday,False,high
vehicle_breakdown,Mysore Road,High,False,lcv,night,Thursday,False,routine
tree_fall,Non-corridor,Low,False,unknown,early_morning,Friday,False,high
congestion,ORR North 2,High,False,unknown,early_morning,Friday,False,routine
vehicle_breakdown,Tumkur Road,High,False,bmtc_bus,night,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,night,Thursday,False,routine
vehicle_breakdown,Mysore Road,High,False,private_bus,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,private_bus,night,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,night,Thursday,False,routine
construction,Non-corridor,Low,True,unknown,night,Thursday,False,routine
vehicle_breakdown,Tumkur Road,High,False,private_car,early_morning,Friday,False,routine
tree_fall,Non-corridor,Low,True,unknown,daytime,Friday,False,routine
vehicle_breakdown,ORR East 1,High,False,bmtc_bus,night,Thursday,False,routine
tree_fall,Non-corridor,Low,False,unknown,daytime,Friday,False,routine
congestion,Magadi Road,High,False,unknown,late_night,Friday,False,routine
others,Non-corridor,Low,True,unknown,late_night,Friday,False,routine
vehicle_breakdown,ORR North 1,High,False,private_car,night,Thursday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,night,Thursday,False,routine
road_conditions,Non-corridor,Low,False,unknown,early_morning,Friday,False,high
others,Non-corridor,Low,False,unknown,late_night,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,auto,early_morning,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,lcv,daytime,Friday,False,routine
vehicle_breakdown,ORR East 1,High,False,bmtc_bus,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,private_bus,daytime,Friday,False,routine
vehicle_breakdown,West of Chord Road,High,False,bmtc_bus,early_morning,Friday,False,routine
vehicle_breakdown,Tumkur Road,High,False,others,early_morning,Friday,False,routine
vehicle_breakdown,ORR East 1,High,False,lcv,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,early_morning,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,early_morning,Friday,False,routine
accident,Bellary Road 2,High,False,unknown,early_morning,Friday,False,routine
congestion,ORR North 2,High,False,unknown,early_morning,Friday,False,routine
vehicle_breakdown,West of Chord Road,High,False,bmtc_bus,early_morning,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,private_car,early_morning,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,early_morning,Friday,False,routine
water_logging,Non-corridor,Low,False,unknown,daytime,Friday,False,high
vehicle_breakdown,Non-corridor,Low,False,truck,daytime,Friday,False,routine
pot_holes,Non-corridor,High,False,unknown,early_morning,Friday,False,high
construction,ORR East 1,High,False,unknown,night,Friday,False,high
others,Non-corridor,Low,False,unknown,daytime,Friday,False,high
construction,Non-corridor,Low,True,unknown,daytime,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,ksrtc_bus,early_morning,Friday,False,routine
accident,Bellary Road 1,High,True,unknown,daytime,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,truck,daytime,Friday,False,routine
others,Non-corridor,Low,False,unknown,daytime,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,daytime,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,daytime,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,evening,Friday,False,routine
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,daytime,Friday,False,routine
accident,other_corridor,High,False,unknown,evening,Friday,False,routine
vehicle_breakdown,other_corridor,High,False,truck,evening,Friday,False,routine
others,Mysore Road,High,False,unknown,night,Friday,False,high
vehicle_breakdown,Bellary Road 1,High,False,lcv,evening,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,evening,Friday,False,routine
vehicle_breakdown,Bellary Road 2,High,False,lcv,evening,Friday,False,routine
others,Mysore Road,High,False,unknown,night,Friday,False,routine
vehicle_breakdown,ORR East 1,High,False,others,night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,evening,Friday,False,routine
construction,ORR East 2,High,False,unknown,night,Friday,False,high
vehicle_breakdown,Non-corridor,Low,False,lcv,night,Friday,False,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,night,Friday,False,routine
others,Non-corridor,Low,False,unknown,night,Friday,False,routine
pot_holes,Non-corridor,Low,False,unknown,night,Wednesday,False,high
others,Non-corridor,Low,False,unknown,night,Friday,False,high
vehicle_breakdown,Bellary Road 1,High,True,ksrtc_bus,night,Friday,False,routine
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,night,Friday,False,routine
vehicle_breakdown,ORR West 1,High,False,private_car,late_night,Saturday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,ksrtc_bus,night,Friday,False,routine
vehicle_breakdown,ORR North 2,High,False,bmtc_bus,late_night,Saturday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,ksrtc_bus,night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,night,Friday,False,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Friday,False,routine
accident,Non-corridor,Low,False,unknown,evening,Friday,False,routine
vehicle_breakdown,ORR North 1,High,False,others,evening,Friday,False,routine
vehicle_breakdown,ORR West 1,High,False,truck,early_morning,Saturday,True,routine
others,ORR North 1,High,True,unknown,late_night,Sunday,True,high
vehicle_breakdown,Bellary Road 2,High,False,taxi,late_night,Saturday,True,routine
congestion,Non-corridor,Low,False,unknown,late_night,Saturday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,others,night,Friday,False,routine
vehicle_breakdown,Hosur Road,High,False,lcv,early_morning,Saturday,True,routine
construction,ORR East 2,High,False,unknown,night,Friday,False,high
vehicle_breakdown,Tumkur Road,High,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,others,evening,Friday,False,routine
vehicle_breakdown,Tumkur Road,High,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,ORR East 2,High,False,heavy_vehicle,evening,Friday,False,routine
vehicle_breakdown,Magadi Road,High,False,heavy_vehicle,late_night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,Hosur Road,High,False,bmtc_bus,early_morning,Saturday,True,routine
others,Non-corridor,Low,False,unknown,early_morning,Saturday,True,high
water_logging,Non-corridor,Low,False,unknown,early_morning,Saturday,True,high
vehicle_breakdown,Bellary Road 2,High,False,taxi,early_morning,Saturday,True,routine
tree_fall,Non-corridor,Low,False,unknown,night,Friday,False,high
vehicle_breakdown,ORR West 1,High,False,others,night,Friday,False,routine
vehicle_breakdown,Magadi Road,High,False,heavy_vehicle,early_morning,Saturday,True,routine
congestion,ORR North 2,High,False,unknown,early_morning,Saturday,True,routine
vehicle_breakdown,ORR North 1,High,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,Tumkur Road,High,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,other_corridor,High,False,taxi,daytime,Saturday,True,routine
construction,Non-corridor,Low,True,unknown,night,Friday,False,routine
vehicle_breakdown,ORR North 1,High,False,others,evening,Friday,False,routine
accident,Bellary Road 2,High,False,unknown,early_morning,Saturday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,daytime,Saturday,True,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,early_morning,Saturday,True,high
procession,Non-corridor,Low,False,unknown,night,Friday,False,routine
vehicle_breakdown,ORR North 2,High,False,heavy_vehicle,night,Friday,False,routine
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,evening,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,night,Friday,False,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,evening,Friday,False,routine
vehicle_breakdown,ORR North 1,High,False,heavy_vehicle,evening,Saturday,True,routine
vehicle_breakdown,ORR East 1,High,False,heavy_vehicle,evening,Saturday,True,routine
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,evening,Saturday,True,routine
vehicle_breakdown,Bellary Road 2,High,False,heavy_vehicle,evening,Saturday,True,routine
others,Mysore Road,High,False,unknown,night,Saturday,True,routine
vehicle_breakdown,West of Chord Road,High,False,private_bus,night,Saturday,True,routine
vehicle_breakdown,West of Chord Road,High,False,ksrtc_bus,late_night,Saturday,True,routine
construction,Bellary Road 1,High,False,unknown,night,Saturday,True,routine
water_logging,ORR West 1,High,False,unknown,night,Thursday,False,high
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Saturday,True,routine
protest,Non-corridor,Low,True,unknown,late_night,Saturday,True,high
vehicle_breakdown,Mysore Road,High,False,heavy_vehicle,night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,private_car,night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,heavy_vehicle,night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Saturday,True,routine
vehicle_breakdown,Magadi Road,High,False,bmtc_bus,night,Saturday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,night,Saturday,True,routine
vehicle_breakdown,Mysore Road,High,False,bmtc_bus,late_night,Sunday,True,routine
vehicle_breakdown,Magadi Road,High,False,bmtc_bus,night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,ksrtc_bus,late_night,Sunday,True,routine
accident,ORR East 2,High,False,unknown,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,night,Friday,False,routine
others,Bannerghata Road,High,False,unknown,late_night,Saturday,True,high
road_conditions,Non-corridor,Low,False,unknown,late_night,Sunday,True,high
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,late_night,Sunday,True,routine
vehicle_breakdown,Tumkur Road,High,False,others,late_night,Sunday,True,routine
others,Bellary Road 2,High,False,unknown,late_night,Sunday,True,high
vehicle_breakdown,Tumkur Road,High,False,ksrtc_bus,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,lcv,late_night,Saturday,True,routine
vehicle_breakdown,ORR North 2,High,False,lcv,late_night,Sunday,True,routine
vehicle_breakdown,Bellary Road 1,High,False,lcv,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,others,late_night,Sunday,True,routine
accident,Non-corridor,Low,False,unknown,late_night,Saturday,True,routine
vehicle_breakdown,Non-corridor,Low,False,truck,late_night,Sunday,True,routine
vehicle_breakdown,ORR North 1,High,False,lcv,late_night,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,bmtc_bus,early_morning,Sunday,True,routine
vehicle_breakdown,ORR West 1,High,False,bmtc_bus,early_morning,Sunday,True,routine
vehicle_breakdown,Old Madras Road,High,False,bmtc_bus,early_morning,Sunday,True,routine
vehicle_breakdown,Non-corridor,Low,False,others,late_night,Saturday,True,routine
vehicle_breakdown,Mysore Road,High,False,private_bus,late_night,Saturday,True,routine
construction,ORR North 1,High,True,unknown,late_night,Saturday,True,routine
vehicle_breakdown,Tumkur Road,High,False,heavy_vehicle,late_night,Saturday,True,routine
vehicle_breakdown,ORR West 1,High,False,lcv,early_morning,Sunday,True,routine
pot_holes,Non-corridor,Low,False,unknown,early_morning,Sunday,True,high
vehicle_breakdown,Non-corridor,Low,False,auto,early_morning,Sunday,True,routine
vehicle_breakdown,other_corridor,High,False,lcv,early_morning,Sunday,True,routine
vehicle_breakdown,other_corridor,High,False,private_bus,early_morning,Saturday,True,routine
vehicle_breakdown,Hosur Road,High,False,bmtc_bus,early_morning,Saturday,True,routine
vehicle_breakdown,Mysore Road,High,False,lcv,early_morning,Saturday,True,routine
tree_fall,Non-corridor,Low,True,unknown,early_morning,Saturday,True,routine
water_logging,Non-corridor,Low,False,unknown,early_morning,Saturday,True,routine
construction,Non-corridor,Low,False,unknown,early_morning,Saturday,True,high
water_logging,Mysore Road,High,True,unknown,early_morning,Saturday,True,high
others,Magadi Road,High,False,unknown,early_morning,Saturday,True,routine
